,date,rf_daily
523,2023-01-05,0.00018490353920755948
524,2023-01-06,0.00018530029115804164
525,2023-01-09,0.00018649054606501643
526,2023-01-10,0.00018768079955528615
527,2023-01-11,0.00018728404854927435
528,2023-01-12,0.00018490353920755948
529,2023-01-13,0.00018530029115804164
530,2023-01-16,
531,2023-01-17,0.0001868872973858512
532,2023-01-18,0.00018609379458677002
533,2023-01-19,0.0001868872973858512
534,2023-01-20,0.00018728404854927435
535,2023-01-23,0.00018768079955528615
536,2023-01-24,0.00018728404854927435
537,2023-01-25,0.00018728404854927435
538,2023-01-26,0.0001868872973858512
539,2023-01-27,0.00018768079955528615
540,2023-01-30,0.00018728404854927435
541,2023-01-31,0.00018649054606501643
542,2023-02-01,0.00018490353920755948
543,2023-02-02,0.00018490353920755948
544,2023-02-03,0.00018649054606501643
545,2023-02-06,0.0001868872973858512
546,2023-02-07,0.0001868872973858512
547,2023-02-08,0.00018728404854927435
548,2023-02-09,0.0001892678020052215
549,2023-02-10,0.0001900613022857239
550,2023-02-13,0.0001908548019365841
551,2023-02-14,0.00019045805218985922
552,2023-02-15,0.0001900613022857239
553,2023-02-16,0.00019204505023229744
554,2023-02-17,0.00019204505023229744
555,2023-02-20,
556,2023-02-21,0.00019283854830905655
557,2023-02-22,0.00019204505023229744
558,2023-02-23,0.00019204505023229744
559,2023-02-24,0.00019283854830905655
560,2023-02-27,0.00019402879424362292
561,2023-02-28,0.00019363204575617693
562,2023-03-01,0.0001944255425736596
563,2023-03-02,0.00019482229074628714
564,2023-03-03,0.00019482229074628714
565,2023-03-06,0.0001956157866193151
566,2023-03-07,0.00019998000266626675
567,2023-03-08,0.0002007734944466838
568,2023-03-09,0.0002003767486351789
569,2023-03-10,0.0001987897638150851
570,2023-03-13,0.00019323529711132148
571,2023-03-14,0.00019363204575617693
572,2023-03-15,0.00018847430109507595
573,2023-03-16,0.00018807755040388665
574,2023-03-17,0.00017934899537247386
575,2023-03-20,0.0001908548019365841
576,2023-03-21,0.00018966455222417807
577,2023-03-22,0.0001900613022857239
578,2023-03-23,0.00018768079955528615
579,2023-03-24,0.00018807755040388665
580,2023-03-27,0.00019482229074628714
581,2023-03-28,0.00019045805218985922
582,2023-03-29,0.00019045805218985922
583,2023-03-30,0.0001972027764764665
584,2023-03-31,0.00019244179934938186
585,2023-04-03,0.0001944255425736596
586,2023-04-04,0.00019363204575617693
587,2023-04-05,0.00019283854830905655
588,2023-04-06,0.00019482229074628714
589,2023-04-07,0.00019640928186270793
590,2023-04-10,0.00020156698559747213
591,2023-04-11,0.00019998000266626675
592,2023-04-12,0.00019918651025621997
593,2023-04-13,0.00020236047611863278
594,2023-04-14,0.00020394745527207493
595,2023-04-17,0.00020672466273046576
596,2023-04-18,0.00020632791928005542
597,2023-04-19,0.0002047409439043585
598,2023-04-20,0.00020315396601016674
599,2023-04-21,0.00020394745527207493
600,2023-04-24,0.00020632791928005542
601,2023-04-25,0.00020315396601016674
602,2023-04-26,0.0002047409439043585
603,2023-04-27,0.00020553443190701832
604,2023-04-28,0.00020236047611863278
605,2023-05-01,0.00020910512012742083
606,2023-05-02,0.00020791489213726547
607,2023-05-03,0.00020870837762144043
608,2023-05-04,0.00020870837762144043
609,2023-05-05,0.00020870837762144043
610,2023-05-08,0.00021069208857729815
611,2023-05-09,0.00020989860466716814
612,2023-05-10,0.00020791489213726547
613,2023-05-11,0.00020632791928005542
614,2023-05-12,0.00020831163495805535
615,2023-05-15,0.00020672466273046576
616,2023-05-16,0.0002075181491590707
617,2023-05-17,0.00020870837762144043
618,2023-05-18,0.00021069208857729815
619,2023-05-19,0.00020989860466716814
620,2023-05-22,0.00021426275838139718
621,2023-05-23,0.00021188231326196315
622,2023-05-24,0.00021307253652999502
623,2023-05-25,0.00021346927730453221
624,2023-05-26,0.00021188231326196315
625,2023-05-29,
626,2023-05-30,0.00022021384638907973
627,2023-05-31,0.00021902363162077572
628,2023-06-01,0.0002182301543215661
629,2023-06-02,0.0002182301543215661
630,2023-06-05,0.00021664319783432572
631,2023-06-06,0.00021584971864629292
632,2023-06-07,0.0002150562388286504
633,2023-06-08,0.00021346927730453221
634,2023-06-09,0.00021307253652999502
635,2023-06-12,0.00021426275838139718
636,2023-06-13,0.00021267579559805454
637,2023-06-14,0.00021267579559805454
638,2023-06-15,0.00021148557185781202
639,2023-06-16,0.00021188231326196315
640,2023-06-19,
641,2023-06-20,0.0002138660179216662
642,2023-06-21,0.00021426275838139718
643,2023-06-22,0.00021426275838139718
644,2023-06-23,0.0002146594986837252
645,2023-06-26,0.0002182301543215661
646,2023-06-27,0.00021584971864629292
647,2023-06-28,0.00021584971864629292
648,2023-06-29,0.00021664319783432572
649,2023-06-30,0.00021545297881617293
650,2023-07-03,0.00021584971864629292
651,2023-07-04,
